软体动物，介壳形状像心脏，表面暗褐色，有轮状纹，内面色紫，栖淡水软泥中。肉可食，壳可入药。亦称“扁螺”。 | 蚬
亲自动手 | 手
技能、本领 | 手
做某种事情或擅长某种技能的人 | 手
小巧易拿的 | 手
同“琅”。 | 瑯
肉干 | 脯
水果蜜渍后晾干的成品 | 脯
胸脯、胸部 | 脯
少 | 希
盼望 | 希
等到，达到 | 迨
趁 | 迨
同“柏”。　。 | 栢
一种切草或切其他东西的器具，称“铡刀”。 | 铡
用铡刀切东西 | 铡
辅助，帮助 | 佐
处于辅助地位的人 | 佐
劝 | 佐
提网的总绳。 | 纲
事物的关键部分 | 纲
中国从唐代起转运大批货物所行的办法 | 纲
生物学分类的一种类别（生物学把同一门的生物按照彼此相似的特征和亲缘关系再分成若干群，每一群为“一纲”，“纲”以下再分为“目”）。 | 纲
统治者认为维持正常秩序的必不可少的行为规范 | 纲
技能好，灵敏 | 巧
美好 | 巧
虚伪（特指语言） | 巧
恰好 | 巧
旧时官署之称 | 衙
唐代皇帝前殿 | 衙
排列成行的事物 | 衙
寻求，想要得到 | 找
退回，补足 | 找
急促地呼吸 | 喘
软体动物，体外包着锥形、纺锤形或椭圆形的硬壳，上有旋纹 | 螺
像螺壳纹理的 | 螺
同“脶”。 | 螺
仇恨 | 怨
不满意，责备 | 怨
已婚的女子 | 妇
妻，与“夫”相对 | 妇
儿媳 | 妇
泛指女性 | 妇
做，行，做事 | 为
当做，认做 | 为
变成 | 为
是 | 为
治理，处理 | 为
被 | 为
表示强调 | 为
助词，表示反诘或感叹 | 为
姓。 | 为
替，给 | 为
表目的 | 为
对，向 | 为
帮助，卫护。 | 为
小而高的山。 | 岑
崖岸。 | 岑
〔～寂〕寂静，寂寞。 | 岑
〔～～〕形容烦闷。 | 岑
姓。 | 岑
失去，遗落 | 丢
放下，抛开 | 丢
盛东西的器具，用竹或荆条等编成 | 篓
鱼类的一科，体形椭圆侧扁，头大，有许多棘状突起，背部色淡黄带赤，有黑色及红色斑纹，口大，尾团扇状，生活在近海。 | 鲉
以酒饭款待宾客 | 宴
聚会在一起吃酒饭 | 宴
酒席 | 宴
乐（），安闲 | 宴
配合秤杆称（）轻重的金属块 | 锤
敲打物件的器具 | 锤
用锤敲打 | 锤
古代的一种兵器，柄的上头有一个金属圆球 | 锤
古代重量单位，一锤等于八铢（一说六铢）。 | 锤
对父母尽心奉养并顺从 | 孝
居丧的事 | 孝
丧服 | 孝
姓。 | 孝
古代在男子名字下加的美称，后指人的表字（亦作“父”） | 甫
刚刚，才 | 甫
大 | 甫
姓。 | 甫
胎儿在母体中微动，泛指怀孕 | 娠
落叶乔木，春季开花，叶互生，通常三裂，边缘有锯齿，秋季变成红色，树脂可入药，亦称“枫香树”。 | 枫
人或事物的本身所具有的能力、作用等 | 性
性质，思想、感情等方面的表现 | 性
男女或雌雄的特质 | 性
有关生物生殖的 | 性
表示名词（以及代词、形容词）的类别的语法范畴。 | 性
草木的花下垂的样子。 | 蕤
〔葳～〕草木茂盛的样子。 | 蕤
〔～宾〕中国古代音乐十二律中的第七律；农历五月的别称。 | 蕤
指下垂的缨类装饰物。 | 蕤
〔盱～〕地名，在中国江苏省。 | 眙
直视，瞪 | 眙
车马等奔跑，快跑 | 驰
向往 | 驰
传播，传扬 | 驰
驱车马追逐 | 驰
船、飞机等的左右两侧 | 舷
和，及，与。 | 暨
到，至 | 暨
姓。 | 暨
夸大，虚夸 | 唐
空，徒然 | 唐
传说中的中国朝代名，尧所建。 | 唐
朝代名 | 唐
古代朝堂前或宗庙门内的大路。 | 唐
古同“螗”，指蝉。 | 唐
姓。 | 唐
〔～瀣〕露气，如“呼吸～瀣兮餐朝霞”。 | 沆
〔～瀣一气〕喻气味相投的人勾结在一起。 | 沆
大水 | 沆
收拢，聚集 | 敛
征收 | 敛
收束，约束 | 敛
〔蟋～〕见“蟋”。 | 蟀
〔伏～〕中国神话中人类的始祖，和“女娲”、“神农”并称太古的三皇。简称“羲”，如“～皇”，“～炎”（伏羲和炎帝。炎帝即神农），“～轩”（伏羲和轩辕），“～黄”（伏羲和黄帝），“～经”（即《易经》，传说《易经》八卦为伏羲所作），“～文”（伏羲和文王，传说伏羲画八卦，文王作卦辞）。 | 羲
〔～和〕“羲氏”、“和氏”，传说中掌天文历法的官吏；神话中驾日车的神；神话中太阳的母亲；中国汉代王莽时所设官名。 | 羲
姓。 | 羲
接连着，不止一次 | 屡
同“荣”（日本汉字）。 | 栄
激烈地战斗 | 鏖
喧扰 | 鏖
有遮蔽作用的东西 | 盖
伞 | 盖
由上往下覆，遮掩 | 盖
压倒，超过 | 盖
方言，超出一般地好 | 盖
用印，打上 | 盖
造（房子） | 盖
方言虚词（发语词，如“～闻”；表大概如此，如“～近之矣”；连词，表示原因，如“有所不知，～未学也”）。 | 盖
古地名，在今中国山东省沂水县西北。 | 盖
姓。 | 盖
古同“盍”，文言虚词，何不。 | 盖
人或动物体内红色、柔软的组织 | 肉
果实中可以吃的部分 | 肉
果实不脆，不酥 | 肉
行动迟缓，性子慢 | 肉
古代称圆形物中有孔的边。 | 肉
极亲密疼爱之称，多用呼子女。 | 肉
用水或酒浇注，水撞击 | 冲
向上钻，直上 | 冲
破解不祥 | 冲
空虚，谦虚 | 冲
幼小 | 冲
方言，山区的平地 | 冲
通行的大路，重要的地方 | 冲
不顾一切，一直向前 | 冲
猛烈地撞击 | 冲
收支账目互相抵销 | 冲
情感强烈 | 冲
太阳系中，除水星和金星外，其余的某一个行星进行到与地球、太阳成一条直线而地球正处在这个行星与太阳之间的位置时称“冲”。 | 冲
对着，向着 | 冲
凭，根据 | 冲
猛烈；强烈 | 冲
一种使金属板成形或在金属板上打孔的专用设备称“冲床”。 | 冲
在冲床上加工金属工件 | 冲
超高，超，不平凡 | 卓
姓。 | 卓
用皮、布或线等做成的长条物 | 带
像带子的长条物 | 带
车轮胎 | 带
区域 | 带
佩戴，披挂 | 带
随身拿着 | 带
捎，连着，顺便做 | 带
含有，呈现 | 带
率领，引导 | 带
女子阴道流出的白色的黏液 | 带
印章 | 钤
盖印章 | 钤
锁 | 钤
兵书，谋略 | 钤
放箭 | 射
用推力或弹力送出子弹等 | 射
气体或液体等受到压力迅速流出 | 射
放出光、热、电波等 | 射
有所指 | 射
〔～干〕古书上的一种草，根可入药。 | 射
〔仆～〕中国秦至宋代的官名，宋代以后废。 | 射
〔无～〕中国古代音乐十二律之一；中国春秋时景王所铸钟名。 | 射
驾车时搁在牛马颈上的曲木。 | 轭
〔～蚰〕即“蛞蝓”。 | 蜒
〔蚰～〕见“蚰”。 | 蜒
〔蜿～〕见“蜿”。 | 蜒
用硬物尖端触击，刺 | 戳
因猛触硬物而受伤或损坏 | 戳
竖立，站立 | 戳
图章 | 戳
一种金属元素，工业上用途极广，可以炼钢，可制各种器械，亦是生物体中不可缺少的物质。 | 铁
形容坚硬 | 铁
形容确定不移 | 铁
形容刚正 | 铁
形容表情严肃 | 铁
黑色 | 铁
兵器的代称 | 铁
姓。 | 铁
性质状态或情形和以前不同，更改 | 变
在可见光中波长最短，红与蓝合成的颜色 | 紫
道教和某些朝代的统治者所崇尚的色彩，因而常在其宫室、服饰、用物前冠之以“紫” | 紫
姓。 | 紫
古人双膝跪地，把臀部靠在脚后跟上，这是其本义，后泛指以臀部着物而止息 | 坐
乘，搭 | 坐
坚守，引申为常驻，不动 | 坐
建筑物的位置或背对着某一方向 | 坐
把锅、壶等放在火上 | 坐
物体向后施压力 | 坐
介词，因，由于，为着 | 坐
副词（空，徒然，如“胡为～自苦，吞悲仍抚膺”；无故，自然而然，如“如若此，则盐必～长十倍”；遂，即将，如“寒英～销落，何用慰远客”；深，如“感此伤妾心，～愁红颜老”；正，恰好，如“西村渡口人烟晚，～见渔舟两两归”）。 | 坐
定罪 | 坐
瓜果等植物结实 | 坐
同“座”。 | 坐
古同“餐”，吃。 | 喰
古同“飧”，简单的饭食。 | 喰
爱饮食。 | 喰
〔～胧〕月光不明；不清楚，模糊。 | 朦
远 | 逖
黑色 | 皂
差役 | 皂
一种铃铛 | 銮
古代帝王的车驾上有銮铃，故亦作帝王车驾的代称 | 銮
厉害，猛烈，迅速 | 剧
文艺的一种形式，作家把一定的主题编出来，利用舞台由演员化装演出 | 剧
姓。 | 剧
同“凼”。 | 氹
向外透或往上升 | 冒
不顾（恶劣的环境或危险等），顶着 | 冒
不加小心，鲁莽，冲撞 | 冒
用假的充当真的，假托 | 冒
复盖 | 冒
贪污 | 冒
古同“帽”。 | 冒
古同“瑁”，玳瑁。 | 冒
姓。 | 冒
〔～顿（）〕中国汉初匈奴族的一个君主名。 | 冒
笔画数 | 冒
由词组成的能表示出一个完整意思的话 | 句
〔～读（）〕古代称文词停顿的地方为“句”或“读”。 | 句
量词，用于语言 | 句
〔高～骊〕古国名，即“高丽”。 | 句
挖土或铲其他东西的器具。 | 锹
朝见君主或朝拜圣地 | 觐
数目，十个一百（在钞票和单据上常用大写“仟”代） | 千
喻极多 | 千
见“秋”字“秋千”。 | 千
姓。 | 千
高 | 乔
木名 | 乔
做假，装 | 乔
无赖，狡诈 | 乔
姓。 | 乔
改变，违背（多指感情或态度） | 渝
中国重庆直辖市的别称。因为重庆境内嘉陵江古称渝水，“渝”也作为重庆的简称沿用至今。 | 渝
中医学病名，古称“滞下”。又因病情不同而有“赤～”、“白～”、“赤白～”、“噤口～”等名。 | 痢
〔～疾〕传染病。症状有大便频繁，腹痛，发热，粪便带脓、血和黏液等。 | 痢
见“瘌”字“瘌痢”。 | 痢
〔～基〕碳酸失去氢原子团而成的一价基。 | 羧
〔～酸〕烃基和羧基结合而成的有机化合物的统称。如醋酸等。广泛地应用于染料、橡胶、药物、香料、塑料等工业中。亦称“有机酸”。 | 羧
古代称编串好的竹简，现在指装潢好的纸本子 | 册
量词，指书籍 | 册
古代帝王祭祀天地神仙的文书或封爵的诏书 | 册
人身体的最上部分或动物身体的最前的部分 | 头
指头发或所留头发的样式 | 头
物体的顶端 | 头
指事情的起点或端绪 | 头
物体的残余部分 | 头
以前，在前面的 | 头
次序在前，第一 | 头
首领 | 头
方面 | 头
临，接近 | 头
量词，多指牲畜 | 头
表示约计、不定数量的词 | 头
名词后缀（接于名词词根，如“木～”。接于动词词根，如“念～”。接于形容词词根，如“甜～儿”）。 | 头
方位词后缀（如“上～”。“里～”。“后～”。） | 头
没有烧过的砖瓦、陶器等 | 坯
泛指半成品 | 坯
用以指未成年的人 | 坯
同“村”。 | 邨
有才智，旧时谦称 | 佞
善辩，巧言谄媚 | 佞
赠给。 | 贻
遗留，留下 | 贻
绳子。 | 约
拘束，限制 | 约
共同议定的要遵守的条款 | 约
事先说定 | 约
邀请 | 约
节俭 | 约
简要，简单 | 约
大略 | 约
算术上指用公因数去除分子和分母使分数简化 | 约
用秤称 | 约
黑鬃的白马。 | 骆
〔～驼〕哺乳动物，身体高大，背上有肉峰，毛褐色。能驮负重物在沙漠中远行。亦称“橐驼”；简称“驼”。 | 骆
姓。 | 骆
〔赤～〕地名，在中国台湾省。 | 崁
旁 | 侧
斜着 | 侧
卑陋 | 侧
同“仄”。 | 侧
〔～歪〕倾斜，如“你看那人～歪着走”。 | 侧
（侧） | 侧
颈的前部和气管相通的部分，是呼吸器官的一部分，内有声带，又是发音器官（通称“喉头”） | 喉
用手接触或轻轻抚摩 | 摸
用手探取、寻找 | 摸
揣测，试探 | 摸
暗中行进，在认不清的道路上行走 | 摸
〔～鼠〕哺乳动物，长十余厘米，毛黑褐色，趾有钩爪，善掘土，白天住在土中，夜晚捕食昆虫，也吃农作物的根。俗称“地排子”。 | 鼹
开玩笑 | 谑
相隔的空间和时间 | 距
雄鸡爪子后面突出像脚趾的部分。 | 距
古同“拒”，抵抗。 | 距
古同“巨”，大。 | 距
古同“讵”，岂。 | 距
指用机械制造生产资料或生活资料的工场。 | 厂
有空地方可以存货或进行加工的地方 | 厂
棚舍 | 厂
中国明代为加强专制统治而设的特务机关。 | 厂
同“庵”，多用于人名。 | 厂
山边岩石突出覆盖处，人可居住的地方。 | 厂
〔～果〕落叶乔木，开白花；这种植物的果实，球形，红色或黄色，味甜或略酸。 | 苹
（苹） | 苹
〔～萦〕回旋的样子，如“争湍～萦，汨活澎濞”。 | 苹
汉语字音中的元音或元音加收尾音，即声母以外的部分，或声母和介音以外的部分，称“韵母”。如幔睿绲脑夏甘恰搬”，幔睿绲脑夏甘恰埃踽” | 韵
和谐而有节奏的 | 韵
风度，风致，情趣，意味 | 韵
罩在外面的东西 | 套
加罩 | 套
重叠的 | 套
装在衣物里的棉絮 | 套
同类事物合成的一组 | 套
模拟，照做 | 套
用绳子等做成的环 | 套
栓系 | 套
用谎骗取 | 套
河流或山势弯曲之处（大多用于地名） | 套
水流所从出的地方 | 源
事物的根由 | 源
姓。 | 源
像胶或糨糊的性质 | 黏
红色，比朱色稍暗的颜色 | 赤
真诚，忠诚 | 赤
空无所有 | 赤
裸露 | 赤
〔～榄〕常绿乔木，种子可榨油，树脂供药用。果实绿色，长圆形，亦称“青果”，可食，亦可入药。常绿小乔木，欧美用它的枝叶作为和平的象征。亦称“齐墩果”。 | 橄
〔杜～〕见“杜”。 | 鹃
和悦而正直地争辩。 | 訚
谦和而恭敬的样子。 | 訚
女性，女子，女人，妇女 | 女
女儿 | 女
星宿名，二十八宿之一。 | 女
文言代词，你 | 女
听觉和平衡感觉的器官（通称“耳朵”） | 耳
像耳朵的东西 | 耳
像耳朵一样分列两旁的东西 | 耳
听说 | 耳
文言助词，而已，罢了 | 耳
文言语气词（大致同“矣”） | 耳
害怕，畏惧 | 恐
恫吓（） | 恐
疑虑 | 恐
偷东西的人，盗匪 | 贼
对人民有危害的人 | 贼
害，伤害 | 贼
邪的，不正派的 | 贼
狡猾 | 贼
副词，很 | 贼
向下，低头，与“仰”相对 | 俯
潜伏，卧伏 | 俯
旧时公文及书信对上级或尊长的敬辞 | 俯
截住河流的构筑物 | 坝
河工险要处、巩固堤防的构筑物。 | 坝
平地（多用于地名） | 坝
方言，沙滩，沙洲。 | 坝
〔～水〕水名，在中国陕西省。 | 沣
（沣） | 沣
〔螳～〕见“螳”。 | 螂
〔蜣～〕见“蜣”。 | 螂
〔蟑～〕见“蟑”。 | 螂
〔蚂（）～〕见“蚂”。 | 螂
扎进去，把细长或薄的东西放进去 | 插
加入，参与 | 插
分开，由聚集而分离 | 散
分布，分给 | 散
排遣 | 散
解雇 | 散
没有约束，松开 | 散
分开的，分离的 | 散
零碎的 | 散
中医称药末 | 散
〔～崃〕地名，在中国四川省；山名，在中国四川省。 | 邛
〔～都（）〕古地名，在今中国四川省西昌市，亦作“筇竹”。 | 邛
病，劳 | 邛
过去表示敬意的礼节 | 拜
行礼祝贺 | 拜
用一定的礼节授予某种名义或结成某种关系 | 拜
拜拜（外）再见。引结束某种关系。 | 拜
做买卖或做买卖的地方 | 市
买 | 市
人口密集的行政中心或工商业、文化发达的地方 | 市
一种行政区划，有中央直辖和省（自治区）辖等 | 市
中国人民习惯使用的度量衡单位 | 市
多数水生动物的呼吸器官，用来吸收溶解在水中的氧。鱼鳃主要生在头部两侧。 | 鳃
古同“葸”，害怕。 | 鳃
社会上长期形成的风尚、礼节、习惯等 | 俗
大众化的，最通行的，习见的 | 俗
趣味不高的，令人讨厌的 | 俗
凡世间，相对于仙佛僧道 | 俗
圆形薄片或扁圆形的面制食品 | 饼
像饼的东西 | 饼
排得整齐的行列 | 队
具有某种性质的集体 | 队
量词 | 队
“百”的大写。 | 佰
管乐器名，一般用十三根长短不同的竹管制成，吹奏 | 笙
